furby140	17003	26	8141	3880	59	3877	325
richchoe	251077	26	2063	506	493	605	459
StoneColdstunna	340581	26	2045	1099	347	283	316
Wolf_Dogg	313353	26	5306	1379	1281	1358	1288
BiGPiMP23	498729	26	1048	312	205	317	214
SwissTayler	279673	26	1067	349	211	261	246
andy1990	353885	26	1385	345	346	345	349
PyroManiacX	514096	26	1512	284	370	571	287
Jack81	753853	26	1669	458	313	417	481
sunflower_jen	458343	26	1676	330	180	683	483
aditzs	464918	26	1843	609	347	539	348
billybobjoba	491000	26	1949	813	316	447	373
candy_man	237866	26	2345	718	423	476	728
spires27	451695	26	2675	1282	554	343	496
Gazellee	953808	26	2869	913	309	906	741
snachy	162476	26	3123	450	449	1588	636
Sparta3	802907	26	3174	787	788	810	789
Raiden46	800608	26	3198	791	800	805	802
littleducecoupe	342669	26	3433	1005	974	916	538
Nekroman	67254	26	3555	1944	10	854	747
trenty005	147082	26	3587	1112	417	1612	446
Allault	792900	26	3682	1014	10	550	2108
whitefang	275866	26	3700	1129	819	696	1056
lucia928	112024	26	3741	595	518	528	2100
diabrete	365986	26	4405	1053	1256	1056	1040
SOCA	264257	26	5425	1776	505	170	2974
Strapnel	464079	26	11953	2505	4751	2331	2366
tygerbomb	342150	26	2120394	2118674	543	555	622
cripaustin	372870	25	2638	1019	298	1045	276
Cyrus	14092	25	2103	965	44	1008	86
jmsmnch	905822	25	2073	474	365	724	510
redalert127	654795	25	3466	801	776	1113	776
rhodesnyomi	575176	25	3318	745	398	1123	1052
Sai_Deschain	815125	25	7110	4237	644	667	1562
Skieth	983447	25	2764	1342	150	770	502
SUB_Z3RO	330496	25	2312	442	400	399	1071
YoungMoneyy	436308	25	4791	2454	688	961	688
Zardan	1072681	25	3745	982	951	483	1329
samsta	280295	25	1008	300	301	199	208
mrmikeyh	660205	25	1111	312	264	248	287
r3dscorpion69	1180420	25	1111	314	275	277	245
Mrfootey	478962	25	1213	256	262	461	234
babytaz1987	382338	25	1260	303	327	328	302
bfg1	229632	25	1272	474	264	269	265
PeachMentos	488384	25	1275	237	119	569	350
s3nGz	465467	25	1297	537	39	403	318
381995	381995	25	1347	404	237	463	243
Nocturnal	342907	25	1416	481	283	317	335
god_of_war	332479	25	1420	792	150	254	224
Samanosuke	190695	25	1436	719	28	616	73
maskman	346837	25	1444	413	343	346	342
Edub	79416	25	1533	1255	17	123	138
UzumakiDan	432474	25	1542	453	360	362	367
prego17	378718	25	1583	405	394	380	404
rafamoulima	1177887	25	1666	1394	130	116	26
ODD-E-CEED	451753	25	1677	454	400	416	407
Takayte	83039	25	1693	910	213	309	261
DonJuanMatus	421949	25	1702	243	16	1109	334
mickblue1	740967	25	1710	826	601	267	16
Vashyron	470180	25	1729	296	526	323	584
Carpathia	1082559	25	1755	514	352	452	437
thechosen	644384	25	1755	536	318	643	258
mafia80	484743	25	1794	535	244	297	718
dark_fart	281747	25	1857	607	407	429	414
Semyon	1210736	25	1902	435	659	369	439
Bonana	762865	25	1943	558	54	890	441
smalltownboy	938350	25	1974	593	445	425	511
Chrissy_M_	768356	25	1975	501	457	511	506
MastaDon	232564	25	2143	740	14	702	687
heliohor1994	364079	25	2212	927	230	599	456
thatboyb	668705	25	2350	441	46	1520	343
chrischris987	758810	25	2399	567	569	574	689
trucker-steve	295155	25	2510	685	440	788	597
AzNMafiA	343321	25	2512	525	683	746	558
andrea	65146	25	2544	377	67	595	1505
Xec	384786	25	3001	776	712	786	727
paulski	466947	25	3707	718	405	2001	583
-MaRcI-	325378	25	3715	1010	876	908	921
jakoar40	1278107	25	3891	417	654	2547	273
Excelin	463919	25	4181	1384	69	1382	1346
JonnyIR86	930653	25	5194	3838	502	400	454
thugz-bunny	380958	25	5521	1001	1000	2006	1514
xjoorx	349371	25	5788	1352	2167	1136	1133
KSpoon	184845	25	5815	885	3483	481	966
blobbydude1	931279	25	6878	1317	1254	1224	3083
knife_fight	355177	25	6964	1784	1047	2913	1220
_-M0B-_	228051	25	7457	2874	279	3368	936
ZachMan94	545762	25	8139	6751	430	481	477
jesusjerusalem	507362	25	8173	2488	2200	1544	1941
Ryoma	28699	25	18392	4817	4577	4353	4645
theprowler	421990	24	2282	603	513	677	489
angel_fire	327989	24	2449	699	654	610	486
BLINTON	1399729	24	2800	782	516	500	1002
Rossder	197040	24	2080	531	531	512	506
scorpion51501	451340	24	5379	4079	168	1009	123
Sioloc	768647	24	7042	3385	31	1572	2054
invishunter	353161	24	1003	549	12	251	191
Brojnikov	347364	24	1006	465	154	298	89
igglepiggle	787968	24	1017	332	180	349	156
esrocked1	504786	24	1059	260	230	285	284
KhoiRyu	714004	24	1061	613	66	183	199
ziwonge	510003	24	1095	236	266	253	340
fleffi	553287	24	1113	173	96	604	240
ORANGEZ	535986	24	1134	320	270	281	263
aaronbuyz	971899	24	1153	468	212	201	272
CodyRst	916292	24	1155	684	69	300	102
Budafa	670897	24	1198	360	113	363	362
saunders	522148	24	1204	414	265	275	250
Doniiie	446282	24	1249	279	253	300	417
eniGzor	512527	24	1271	693	52	202	324
FloodyBoy	344390	24	1323	372	237	459	255
matspek	1013307	24	1323	135	10	519	659
streetracer	455918	24	1346	290	326	273	457
vince95	292411	24	1379	276	136	203	764
S-P-L-A-T	482042	24	1402	359	745	225	73
op_sasjoe	970145	24	1432	363	345	361	363
sangay-unit	273087	24	1440	479	307	375	279
qualtum	233737	24	1452	351	368	362	371
SmakHead	272293	24	1492	1055	17	212	208
upchurch	19864	24	1504	287	325	253	639
PurgingChaos	568129	24	1542	427	399	335	381
Dayne_888	525550	24	1577	791	271	252	263
ZackFair	992984	24	1640	599	103	602	336
Parkzzz	314252	24	1656	539	342	344	431
WOW	882854	24	1694	971	12	383	328
calvin5258	914038	24	1736	473	435	453	375
jemolnar2	183886	24	1745	945	105	530	165
Viktor-Tsoi	742707	24	1794	409	570	410	405
wed608	543610	24	1800	349	417	606	428
MissTakes	950733	24	1812	364	686	526	236
penywize	610508	24	1885	350	314	408	813
Gi_M	465776	24	1938	456	275	765	442
ced70	984505	24	2024	566	132	1184	142
micrane1	773962	24	2157	643	355	1018	141
henri631	528613	24	2261	1107	272	366	516
MsAech	163117	24	2297	650	689	223	735
Glazer13	517671	24	2330	1080	17	935	298
aburagheb	432385	24	2391	1545	298	521	27
buckolfc	218930	24	2419	891	99	1296	133
SSGTJester	857383	24	2525	625	634	632	634
Trisk	13800	24	2555	97	149	680	1629
Bora	1064044	24	2568	680	659	619	610
hulagadoo	918435	24	2673	610	1070	594	399
SandaP	1201	24	2811	967	515	833	496
lunatik	20230	24	2930	739	734	731	726
conchi	1258259	24	2958	410	33	2223	292
jonlyth	566824	24	3271	1013	700	805	753
ANTIHIPPY	305270	24	3330	915	796	797	822
Nicktwo	627428	24	3729	1087	808	1262	572
Sindel	31580	24	4364	475	406	1495	1988
ChasingFate	185939	24	4752	1074	1103	1471	1104
blop	232200	24	5143	3448	393	299	1003
ghost-12	666693	24	5412	2260	1137	1150	865
Brainiac316	165654	24	5945	174	10	811	4950
Cherry_Piercer	170474	24	7367	1755	1982	1664	1966
Muteki	367657	24	8441	1186	1228	4597	1430
Singre	507984	24	9112	2411	2155	2207	2339
TC_BADBOY	218703	24	9447	3182	2328	2239	1698
redeye1139	769246	24	170846	41723	129035	19	69
DiosPhoenix	525046	24	1597366	2265	1594842	107	155
CooleErica	297041	23	1888	474	470	474	470
therush	295463	23	2320	203	20	416	1681
Fijindian	148374	23	2384	695	536	610	543
poeticthug07	295547	23	2720	883	606	587	644
kinggeorge920	714273	23	2791	965	725	753	348
ghettolad	247192	23	2850	715	625	605	905
armyguy89	466216	23	3839	1265	692	1161	721
HIT_MAN_94	729522	21	1016	261	247	258	247
BGenDron	30117	21	1047	881	42	106	17
megan56	556294	21	1229	432	186	190	421
AItair	670286	20	1076	315	222	391	148
